the_geom,cartodb_id,the_geom_webmercator,zip_code,partially_vaccinated,fully_vaccinated,etl_timestamp
NA,1,NA,19138,2509,9264,2021-06-14 17:20:02
NA,2,NA,19125,2455,11863,2021-06-14 17:20:02
NA,3,NA,19144,3621,13470,2021-06-14 17:20:02
NA,4,NA,19152,3955,13359,2021-06-14 17:20:02
NA,5,NA,19153,992,3907,2021-06-14 17:20:02
NA,6,NA,19133,2817,6450,2021-06-14 17:20:02
NA,7,NA,19126,1347,5276,2021-06-14 17:20:02
NA,8,NA,19119,2697,11351,2021-06-14 17:20:02
NA,9,NA,19120,6855,19037,2021-06-14 17:20:02
NA,10,NA,19128,3578,13925,2021-06-14 17:20:02
NA,11,NA,19104,4705,22403,2021-06-14 17:20:02
NA,12,NA,19127,520,2478,2021-06-14 17:20:02
NA,13,NA,19149,7312,18336,2021-06-14 17:20:02
NA,14,NA,19143,4692,21588,2021-06-14 17:20:02
NA,15,NA,19146,3565,19898,2021-06-14 17:20:02
NA,16,NA,19135,2625,9379,2021-06-14 17:20:02
NA,17,NA,19151,2065,8376,2021-06-14 17:20:02
NA,18,NA,19154,2524,12143,2021-06-14 17:20:02
NA,19,NA,19132,2703,9056,2021-06-14 17:20:02
NA,20,NA,19111,6146,21856,2021-06-14 17:20:02
NA,21,NA,19114,2501,11941,2021-06-14 17:20:02
NA,22,NA,19147,4122,21044,2021-06-14 17:20:02
NA,23,NA,19139,3090,12516,2021-06-14 17:20:02
NA,24,NA,19124,6133,18061,2021-06-14 17:20:02
NA,25,NA,19142,2430,7187,2021-06-14 17:20:02
NA,26,NA,19118,921,4132,2021-06-14 17:20:02
NA,27,NA,19122,2013,8092,2021-06-14 17:20:02
NA,28,NA,19123,2268,8270,2021-06-14 17:20:02
NA,29,NA,19130,3471,13658,2021-06-14 17:20:02
NA,30,NA,19116,2322,10780,2021-06-14 17:20:02
NA,31,NA,19129,1297,4569,2021-06-14 17:20:02
NA,32,NA,19140,4805,14476,2021-06-14 17:20:02
NA,33,NA,19134,5197,16207,2021-06-14 17:20:02
NA,34,NA,19145,4681,19751,2021-06-14 17:20:02
NA,35,NA,19121,2922,11492,2021-06-14 17:20:02
NA,36,NA,19107,2055,8865,2021-06-14 17:20:02
NA,37,NA,19150,1887,8422,2021-06-14 17:20:02
NA,38,NA,19131,3085,12567,2021-06-14 17:20:02
NA,39,NA,19102,760,3308,2021-06-14 17:20:02
NA,40,NA,19148,6025,23657,2021-06-14 17:20:02
NA,41,NA,19115,2818,13629,2021-06-14 17:20:02
NA,42,NA,19136,3114,11668,2021-06-14 17:20:02
NA,43,NA,19103,2656,14590,2021-06-14 17:20:02
NA,44,NA,19106,1673,6669,2021-06-14 17:20:02
NA,45,NA,19141,2368,8323,2021-06-14 17:20:02
NA,46,NA,19137,685,2608,2021-06-14 17:20:02
